id,nombre,unidad_medida_id,costo_base,activo,clase_sugerida,frecuencia_en_excel,unidad_referida,observaciones
40,CLAVILLOS F50,14,28000.0,True,INSUMO,1,TIRA,derivado_de_excel; variantes=1; ejemplos=CLAVILLOS F50:1
41,CLAVILLOS F50 F 30,14,28000.0,True,INSUMO,1,TIRA,derivado_de_excel; variantes=1; ejemplos=CLAVILLOS F50 F 30:1
42,CLAVILLOS N F 40,14,1000.0,True,INSUMO,45,TIRA,derivado_de_excel; variantes=1; ejemplos=CLAVILLOS N F 40:45
43,COLA DE RATA,4,1570.0,True,INSUMO,10,METROS,derivado_de_excel; variantes=1; ejemplos=COLA DE RATA:10
44,COLA E RATA,34,500.0,True,INSUMO,2,ROLLO,derivado_de_excel; variantes=1; ejemplos=COLA E RATA:2
45,COLAPATO,60,35000.0,True,INSUMO,8,2X7X5+1X7X5=105,derivado_de_excel; variantes=1; ejemplos=COLAPATO:8
46,COLAPATO MADERA,57,140.0,True,INSUMO,6,187 CENTIMETROS,derivado_de_excel; variantes=1; ejemplos=COLAPATO MADERA:6
47,COLAPATOS,50,40000.0,True,INSUMO,3,PARES,derivado_de_excel; variantes=1; ejemplos=COLAPATOS:3
48,COLARATA,4,1000.0,True,INSUMO,15,METROS,derivado_de_excel; variantes=1; ejemplos=COLARATA:15
49,COLBON,1,14000.0,True,INSUMO,164,LITRO,derivado_de_excel; variantes=1; ejemplos=COLBON:164
50,COLOR,6,22000.0,True,INSUMO,73,PISTOLADA,derivado_de_excel; variantes=1; ejemplos=COLOR:73
51,COLOR ANACARADO,6,22000.0,True,INSUMO,1,PISTOLADA,derivado_de_excel; variantes=1; ejemplos=COLOR ANACARADO:1
52,COLOR BEGUEY,6,23000.0,True,INSUMO,1,PISTOLADA,derivado_de_excel; variantes=1; ejemplos=COLOR BEGUEY:1
53,COLOR BEIS O BEIGE,55,18000.0,True,INSUMO,1,* LITRO,derivado_de_excel; variantes=1; ejemplos=COLOR BEIS O BEIGE:1
54,COLOR BGRIS,13,22000.0,True,INSUMO,3,PISTOLADAS,derivado_de_excel; variantes=1; ejemplos=COLOR BGRIS:3
55,COLOR BLANCO,6,22000.0,True,INSUMO,9,PISTOLADA,derivado_de_excel; variantes=1; ejemplos=COLOR BLANCO:9
56,COLOR CON LACA,6,22000.0,True,INSUMO,2,PISTOLADA,derivado_de_excel; variantes=1; ejemplos=COLOR CON LACA:2
57,COLOR FERRO FORTE GRIS,6,22000.0,True,INSUMO,1,PISTOLADA,derivado_de_excel; variantes=1; ejemplos=COLOR FERRO FORTE GRIS:1
58,COLOR FERRO FORTE STONE,6,22000.0,True,INSUMO,1,PISTOLADA,derivado_de_excel; variantes=1; ejemplos=COLOR FERRO FORTE STONE:1
59,COLOR GRIS,6,22000.0,True,INSUMO,33,PISTOLADA,derivado_de_excel; variantes=1; ejemplos=COLOR GRIS:33
60,COLOR GRIS ALUMINIO,12,23000.0,True,INSUMO,1,galon,derivado_de_excel; variantes=1; ejemplos=COLOR GRIS ALUMINIO:1
61,COLOR GRIS HUMO,6,23000.0,True,INSUMO,2,PISTOLADA,derivado_de_excel; variantes=1; ejemplos=COLOR GRIS HUMO:2
62,COLOR MIEL,6,22000.0,True,INSUMO,2,PISTOLADA,derivado_de_excel; variantes=1; ejemplos=COLOR MIEL:2
63,COLOR NACARADO,6,23000.0,True,INSUMO,14,PISTOLADA,derivado_de_excel; variantes=1; ejemplos=COLOR NACARADO:14
64,COLOR NEGRA/BEIGE/GRIS,6,22000.0,True,INSUMO,1,PISTOLADA,derivado_de_excel; variantes=1; ejemplos=COLOR NEGRA/BEIGE/GRIS:1
65,COLOR NEGRO,6,22000.0,True,INSUMO,6,PISTOLADA,derivado_de_excel; variantes=1; ejemplos=COLOR NEGRO:6
66,COLOR NEGRO TENDIDOS,13,22000.0,True,INSUMO,5,PISTOLADAS,derivado_de_excel; variantes=1; ejemplos=COLOR NEGRO TENDIDOS:5
67,COLOR NMIEL,6,22000.0,True,INSUMO,1,PISTOLADA,derivado_de_excel; variantes=1; ejemplos=COLOR NMIEL:1
68,COLOR PARA LAS PATAS DEL TENDIDO,3,22000.0,True,INSUMO,1,UNIDADES,derivado_de_excel; variantes=1; ejemplos=COLOR PARA LAS PATAS DEL TENDIDO:1
69,COLOR TABACO,6,22000.0,True,INSUMO,5,PISTOLADA,derivado_de_excel; variantes=1; ejemplos=COLOR TABACO:5
70,CORREDERAS,2,15000.0,True,INSUMO,90,unidades,derivado_de_excel; variantes=1; ejemplos=CORREDERAS:90
71,CORREDERAS 30 NORMAL,10,20000.0,True,INSUMO,1,PAR,derivado_de_excel; variantes=1; ejemplos=CORREDERAS 30 NORMAL:1
72,CORREDERAS 35 NORMAL,10,28000.0,True,INSUMO,26,PAR,derivado_de_excel; variantes=1; ejemplos=CORREDERAS 35 NORMAL:26
73,CORREDERAS 35 PUFF,10,38999.0,True,INSUMO,5,PAR,derivado_de_excel; variantes=1; ejemplos=CORREDERAS 35 PUFF:5
74,CORREDERAS 35 PUSH,10,17750.0,True,INSUMO,2,PAR,derivado_de_excel; variantes=1; ejemplos=CORREDERAS 35 PUSH:2
75,CORREDERAS 40 NORMAL,10,12000.0,True,INSUMO,1,PAR,derivado_de_excel; variantes=1; ejemplos=CORREDERAS 40 NORMAL:1
76,CORREDERAS 40 PUFF,10,24000.0,True,INSUMO,2,PAR,derivado_de_excel; variantes=1; ejemplos=CORREDERAS 40 PUFF:2
77,CORREDERAS 45,42,30000.0,True,INSUMO,2,UNITARIO,derivado_de_excel; variantes=1; ejemplos=CORREDERAS 45:2
78,CORREDERAS 45 NORMAL,50,25000.0,True,INSUMO,1,PARES,derivado_de_excel; variantes=1; ejemplos=CORREDERAS 45 NORMAL:1
79,CORREDERAS DE,2,20000.0,True,INSUMO,1,unidades,derivado_de_excel; variantes=1; ejemplos=CORREDERAS DE:1
80,CORREDERAS DE 35,5,31000.0,True,INSUMO,1,UNIDAD,derivado_de_excel; variantes=1; ejemplos=CORREDERAS DE 35:1
81,CORREDERAS DE 40,5,22000.0,True,INSUMO,1,UNIDAD,derivado_de_excel; variantes=1; ejemplos=CORREDERAS DE 40:1
82,CORREDERAS DE NOCHERO,2,20000.0,True,INSUMO,2,unidades,derivado_de_excel; variantes=1; ejemplos=CORREDERAS DE NOCHERO:2
83,CORREDERAS DE PEINADORA,2,20000.0,True,INSUMO,1,unidades,derivado_de_excel; variantes=1; ejemplos=CORREDERAS DE PEINADORA:1
84,CORREDREAS,1,28000.0,True,INSUMO,1,LITRO,derivado_de_excel; variantes=1; ejemplos=CORREDREAS:1
85,CORTE Y NPULIDA,5,50000.0,True,INSUMO,3,UNIDAD,derivado_de_excel; variantes=1; ejemplos=CORTE Y NPULIDA:3
86,CORTE Y NPULIDA Y BISELADO ESPEJO,5,20000.0,True,INSUMO,1,UNIDAD,derivado_de_excel; variantes=1; ejemplos=CORTE Y NPULIDA Y BISELADO ESPEJO:1
87,COSTAL,4,3500.0,True,INSUMO,63,METROS,derivado_de_excel; variantes=1; ejemplos=COSTAL:63
88,DANIEL,64,73500.0,True,INSUMO,3,MANO DE OBRA,derivado_de_excel; variantes=1; ejemplos=DANIEL:3
89,EBANISTERIA,101,100000.0,True,SERVICIO,1,0.05,derivado_de_excel; variantes=1; ejemplos=EBANISTERIA:1
90,ebanisteria 200.000 x 5% de m.o,,0.0,True,SERVICIO,1,,derivado_de_excel; variantes=1; ejemplos=ebanisteria 200.000 x 5% de m.o:1
91,ebanisteria 300.000 x 10% de m.o,,0.0,True,SERVICIO,1,,derivado_de_excel; variantes=1; ejemplos=ebanisteria 300.000 x 10% de m.o:1
92,ebanisteria 300.000 x 5% de m.o,,0.0,True,SERVICIO,47,,derivado_de_excel; variantes=1; ejemplos=ebanisteria 300.000 x 5% de m.o:47
93,ebanisteria 700.000 x 5% de m.o,,0.0,True,SERVICIO,1,,derivado_de_excel; variantes=1; ejemplos=ebanisteria 700.000 x 5% de m.o:1
94,ELECTRICIDAD,10,31000.0,True,INSUMO,1,PAR,derivado_de_excel; variantes=1; ejemplos=ELECTRICIDAD:1
95,EMBALADA,2,150000.0,True,INSUMO,64,unidades,derivado_de_excel; variantes=1; ejemplos=EMBALADA:64
96,ENCHUFE,5,5000.0,True,INSUMO,2,UNIDAD,derivado_de_excel; variantes=1; ejemplos=ENCHUFE:2
97,ENCHUFLES BLANCO MACHO,3,2000.0,True,INSUMO,32,UNIDADES,derivado_de_excel; variantes=1; ejemplos=ENCHUFLES BLANCO MACHO:32
98,ENCINA,12,160000.0,True,INSUMO,50,galon,derivado_de_excel; variantes=1; ejemplos=ENCINA:50
99,EPUMA AZUL DE 11/2,3,26000.0,True,INSUMO,1,UNIDADES,derivado_de_excel; variantes=1; ejemplos=EPUMA AZUL DE 11/2:1
100,EPUMA AZUL DE 2,3,41000.0,True,INSUMO,1,UNIDADES,derivado_de_excel; variantes=1; ejemplos=EPUMA AZUL DE 2:1
101,ESMALTE NEGRO,15,13000.0,True,INSUMO,3,GALON,derivado_de_excel; variantes=1; ejemplos=ESMALTE NEGRO:3
102,ESPEJO,61,45000.0,True,INSUMO,9,50*80,derivado_de_excel; variantes=1; ejemplos=ESPEJO:9
103,ESPEJOS,40,137800.0,True,INSUMO,3,METRO,derivado_de_excel; variantes=1; ejemplos=ESPEJOS:3
104,"ESPEJOS 1,20X1,83",40,137800.0,True,INSUMO,1,METRO,"derivado_de_excel; variantes=1; ejemplos=ESPEJOS 1,20X1,83:1"
105,ESPEJOS DE CAMA,2,580000.0,True,INSUMO,2,unidades,derivado_de_excel; variantes=1; ejemplos=ESPEJOS DE CAMA:2
106,ESPEJOS DE NOCHERO,2,60000.0,True,INSUMO,1,unidades,derivado_de_excel; variantes=1; ejemplos=ESPEJOS DE NOCHERO:1
107,ESPUMA 1 1/2'' AZUL,23,1000.0,True,INSUMO,25,MTS,derivado_de_excel; variantes=1; ejemplos=ESPUMA 1 1/2'' AZUL:25
108,ESPUMA 1 BLANCA,9,9804.0,True,INSUMO,7,LAMINA,derivado_de_excel; variantes=1; ejemplos=ESPUMA 1 BLANCA:7
109,"ESPUMA 1"" ROSADA",9,25125.0,True,INSUMO,5,LAMINA,"derivado_de_excel; variantes=1; ejemplos=ESPUMA 1"" ROSADA:5"
110,ESPUMA 1' NARANJA,31,16000.0,True,INSUMO,5,CM,derivado_de_excel; variantes=1; ejemplos=ESPUMA 1' NARANJA:5
111,"ESPUMA 1,1/2 BLANCA",9,12500.0,True,INSUMO,1,LAMINA,"derivado_de_excel; variantes=1; ejemplos=ESPUMA 1,1/2 BLANCA:1"
112,ESPUMA 1/2 BLANCA,4,7300.0,True,INSUMO,6,METROS,derivado_de_excel; variantes=1; ejemplos=ESPUMA 1/2 BLANCA:6
113,ESPUMA 1/2 ROSADA,9,16500.0,True,INSUMO,14,LAMINA,derivado_de_excel; variantes=1; ejemplos=ESPUMA 1/2 ROSADA:14
114,"ESPUMA 1/2"" ROSADA",9,8000.0,True,INSUMO,2,LAMINA,"derivado_de_excel; variantes=1; ejemplos=ESPUMA 1/2"" ROSADA:2"
115,ESPUMA 2 AZUL,9,41340.0,True,INSUMO,22,LAMINA,derivado_de_excel; variantes=1; ejemplos=ESPUMA 2 AZUL:22
116,ESPUMA 2 ROSADA,9,48000.0,True,INSUMO,2,LAMINA,derivado_de_excel; variantes=1; ejemplos=ESPUMA 2 ROSADA:2
117,ESPUMA AZUL 1CM,29,18000.0,True,INSUMO,1,UNIIDAD,derivado_de_excel; variantes=1; ejemplos=ESPUMA AZUL 1CM:1
118,"ESPUMA AZUL 2""",3,39000.0,True,INSUMO,2,UNIDADES,"derivado_de_excel; variantes=1; ejemplos=ESPUMA AZUL 2"":2"
119,ESPUMA AZUL DE 1 P,30,18000.0,True,INSUMO,2,* UNIDADES,derivado_de_excel; variantes=1; ejemplos=ESPUMA AZUL DE 1 P:2
120,ESPUMA AZUL DE 1 PULGADA,4,17500.0,True,INSUMO,1,METROS,derivado_de_excel; variantes=1; ejemplos=ESPUMA AZUL DE 1 PULGADA:1
121,ESPUMA AZUL DE 1 Y 1/2 P,30,26500.0,True,INSUMO,2,* UNIDADES,derivado_de_excel; variantes=1; ejemplos=ESPUMA AZUL DE 1 Y 1/2 P:2
122,"ESPUMA AZUL DE 1,5 PULGADAS",9,17000.0,True,INSUMO,1,LAMINA,"derivado_de_excel; variantes=1; ejemplos=ESPUMA AZUL DE 1,5 PULGADAS:1"
123,ESPUMA AZUL DE 2 PULGADAS,9,41000.0,True,INSUMO,18,LAMINA,derivado_de_excel; variantes=1; ejemplos=ESPUMA AZUL DE 2 PULGADAS:18
124,"ESPUMA BLANCA 1""",9,12500.0,True,INSUMO,2,LAMINA,"derivado_de_excel; variantes=1; ejemplos=ESPUMA BLANCA 1"":2"
125,ESPUMA BLANCA DE 1',5,14500.0,True,INSUMO,7,UNIDAD,derivado_de_excel; variantes=1; ejemplos=ESPUMA BLANCA DE 1':7
126,"ESPUMA BLANCA DE 1,1/2",5,18700.0,True,INSUMO,1,UNIDAD,"derivado_de_excel; variantes=1; ejemplos=ESPUMA BLANCA DE 1,1/2:1"
127,ESPUMA BLANCA DE 1/2,5,19900.0,True,INSUMO,8,UNIDAD,derivado_de_excel; variantes=1; ejemplos=ESPUMA BLANCA DE 1/2:8
128,ESPUMA DE 1 1/2'' NARANJA,3,40000.0,True,INSUMO,1,UNIDADES,derivado_de_excel; variantes=1; ejemplos=ESPUMA DE 1 1/2'' NARANJA:1
129,ESPUMA DE 1 1/2'' ROSADA,3,30000.0,True,INSUMO,30,UNIDADES,derivado_de_excel; variantes=1; ejemplos=ESPUMA DE 1 1/2'' ROSADA:30
130,ESPUMA DE 1 1/2PULGADA AZUL,3,29500.0,True,INSUMO,4,UNIDADES,derivado_de_excel; variantes=1; ejemplos=ESPUMA DE 1 1/2PULGADA AZUL:4
131,ESPUMA DE 1 1/2PULGADA ROSADA,3,33000.0,True,INSUMO,6,UNIDADES,derivado_de_excel; variantes=1; ejemplos=ESPUMA DE 1 1/2PULGADA ROSADA:6
132,ESPUMA DE 1 PULGADA,68,18000.0,True,INSUMO,2,AZUL,derivado_de_excel; variantes=1; ejemplos=ESPUMA DE 1 PULGADA:2
133,ESPUMA DE 1 PULGADA ROSADA,3,20000.0,True,INSUMO,5,UNIDADES,derivado_de_excel; variantes=1; ejemplos=ESPUMA DE 1 PULGADA ROSADA:5
134,"ESPUMA DE 1"" 1/2 ROSADA",9,30000.0,True,INSUMO,1,LAMINA,"derivado_de_excel; variantes=1; ejemplos=ESPUMA DE 1"" 1/2 ROSADA:1"
135,"ESPUMA DE 1""1/2 ROSADA",49,30000.0,True,INSUMO,8,LAMINAS,"derivado_de_excel; variantes=1; ejemplos=ESPUMA DE 1""1/2 ROSADA:8"
136,ESPUMA DE 1. BLANCA,3,12500.0,True,INSUMO,1,UNIDADES,derivado_de_excel; variantes=1; ejemplos=ESPUMA DE 1. BLANCA:1
137,ESPUMA DE 1. BLANCA DE 1,3,20000.0,True,INSUMO,3,UNIDADES,derivado_de_excel; variantes=1; ejemplos=ESPUMA DE 1. BLANCA DE 1:3
138,ESPUMA DE 1/2 ROSADA,9,19000.0,True,INSUMO,2,LAMINA,derivado_de_excel; variantes=1; ejemplos=ESPUMA DE 1/2 ROSADA:2
139,"ESPUMA DE 1/2"" ROSADA",3,6630.0,True,INSUMO,2,UNIDADES,"derivado_de_excel; variantes=1; ejemplos=ESPUMA DE 1/2"" ROSADA:2"
140,ESPUMA DE 1/2'' ROSADA,3,20000.0,True,INSUMO,2,UNIDADES,derivado_de_excel; variantes=1; ejemplos=ESPUMA DE 1/2'' ROSADA:2
141,ESPUMA DE 2 AZUL,3,41340.0,True,INSUMO,1,UNIDADES,derivado_de_excel; variantes=1; ejemplos=ESPUMA DE 2 AZUL:1
142,ESPUMA DE 2 PULGADAS,9,48000.0,True,INSUMO,1,LAMINA,derivado_de_excel; variantes=1; ejemplos=ESPUMA DE 2 PULGADAS:1
143,ESPUMA DE 2 ROSADA,49,48000.0,True,INSUMO,1,LAMINAS,derivado_de_excel; variantes=1; ejemplos=ESPUMA DE 2 ROSADA:1
144,"ESPUMA DE 2"" ROSADA",9,48000.0,True,INSUMO,1,LAMINA,"derivado_de_excel; variantes=1; ejemplos=ESPUMA DE 2"" ROSADA:1"
145,ESPUMA DE 2'' ROSADA,3,30000.0,True,INSUMO,2,UNIDADES,derivado_de_excel; variantes=1; ejemplos=ESPUMA DE 2'' ROSADA:2
146,ESPUMA DE1. 1/5,68,26500.0,True,INSUMO,2,AZUL,derivado_de_excel; variantes=1; ejemplos=ESPUMA DE1. 1/5:2
147,ESPUMA GRIS DE 1 Y 1/2 P,30,46000.0,True,INSUMO,2,* UNIDADES,derivado_de_excel; variantes=1; ejemplos=ESPUMA GRIS DE 1 Y 1/2 P:2
148,ESPUMA NARANJA 1CM,29,18000.0,True,INSUMO,11,UNIIDAD,derivado_de_excel; variantes=1; ejemplos=ESPUMA NARANJA 1CM:11
149,ESPUMA ROSADA,5,18700.0,True,INSUMO,3,UNIDAD,derivado_de_excel; variantes=1; ejemplos=ESPUMA ROSADA:3
150,ESPUMA ROSADA 2,30,48000.0,True,INSUMO,1,* UNIDADES,derivado_de_excel; variantes=1; ejemplos=ESPUMA ROSADA 2:1
151,"ESPUMA ROSADA 2""",9,48000.0,True,INSUMO,1,LAMINA,"derivado_de_excel; variantes=1; ejemplos=ESPUMA ROSADA 2"":1"
152,ESPUMA ROSADA DE 1 1/2,30,33000.0,True,INSUMO,3,* UNIDADES,derivado_de_excel; variantes=1; ejemplos=ESPUMA ROSADA DE 1 1/2:3
153,ESPUMA ROSADA DE 2P,30,29000.0,True,INSUMO,3,* UNIDADES,derivado_de_excel; variantes=1; ejemplos=ESPUMA ROSADA DE 2P:3
154,ESTOPEROLES,4,500.0,True,INSUMO,6,METROS,derivado_de_excel; variantes=1; ejemplos=ESTOPEROLES:6
155,F40,19,1000.0,True,INSUMO,21,TIRAS,derivado_de_excel; variantes=1; ejemplos=F40:21
156,F50,19,1000.0,True,INSUMO,3,TIRAS,derivado_de_excel; variantes=1; ejemplos=F50:3
157,FABRICACION,,0.0,True,INSUMO,1,,derivado_de_excel; variantes=1; ejemplos=FABRICACION:1
158,FABRICACION *5%,,0.0,True,INSUMO,1,,derivado_de_excel; variantes=1; ejemplos=FABRICACION *5%:1
159,FABRICACION 300.000 *5%,,0.0,True,INSUMO,2,,derivado_de_excel; variantes=1; ejemplos=FABRICACION 300.000 *5%:2
160,FABRICACION 300.000 *8% EDUAR OLAYA,,0.0,True,INSUMO,2,,derivado_de_excel; variantes=1; ejemplos=FABRICACION 300.000 *8% EDUAR OLAYA:2
161,FABRICACION 3240.000 *5%,,0.0,True,INSUMO,1,,derivado_de_excel; variantes=1; ejemplos=FABRICACION 3240.000 *5%:1
162,FABRICACION 432000 *5%,,0.0,True,INSUMO,3,,derivado_de_excel; variantes=1; ejemplos=FABRICACION 432000 *5%:3
163,FABRICACION TENDIDO,39,42000.0,True,INSUMO,19,DE 2X2,derivado_de_excel; variantes=1; ejemplos=FABRICACION TENDIDO:19
164,FABRICACION x5%,,0.0,True,INSUMO,2,,derivado_de_excel; variantes=1; ejemplos=FABRICACION x5%:2
165,FIELTRO,31,4000.0,True,INSUMO,15,CM,derivado_de_excel; variantes=1; ejemplos=FIELTRO:15
166,GANCHOS,10,20000.0,True,INSUMO,61,PAR,derivado_de_excel; variantes=1; ejemplos=GANCHOS:61
167,GANCHOS CAMA,10,20000.0,True,INSUMO,1,PAR,derivado_de_excel; variantes=1; ejemplos=GANCHOS CAMA:1
168,GANCHOS PARA CAMA,10,20000.0,True,INSUMO,2,PAR,derivado_de_excel; variantes=1; ejemplos=GANCHOS PARA CAMA:2
169,GASOLINA,1,4500.0,True,INSUMO,102,LITRO,derivado_de_excel; variantes=1; ejemplos=GASOLINA:102
170,GASOS DEL 10 %,,0.0,True,INSUMO,1,,derivado_de_excel; variantes=1; ejemplos=GASOS DEL 10 %:1
171,gastos de Ebanisteria e 10%,,0.0,True,SERVICIO,64,,derivado_de_excel; variantes=1; ejemplos=gastos de Ebanisteria e 10%:64
172,gastos de Ebanisteria e 5%,,0.0,True,SERVICIO,46,,derivado_de_excel; variantes=1; ejemplos=gastos de Ebanisteria e 5%:46
173,Gastos de Ebanisteria el 10%,,0.0,True,SERVICIO,5,,derivado_de_excel; variantes=1; ejemplos=Gastos de Ebanisteria el 10%:5
174,Gastos de Pintura 10%,,0.0,True,SERVICIO,114,,derivado_de_excel; variantes=1; ejemplos=Gastos de Pintura 10%:114
175,Gastos de PINTURA el 10%,,0.0,True,SERVICIO,3,,derivado_de_excel; variantes=1; ejemplos=Gastos de PINTURA el 10%:3
176,Gastos deTapiceria el 10%,,0.0,True,SERVICIO,2,,derivado_de_excel; variantes=1; ejemplos=Gastos deTapiceria el 10%:2
177,GATO DE LA CAMA,2,155000.0,True,INSUMO,2,unidades,derivado_de_excel; variantes=1; ejemplos=GATO DE LA CAMA:2
178,GATOS,5,4500.0,True,INSUMO,1,UNIDAD,derivado_de_excel; variantes=1; ejemplos=GATOS:1
179,GAZATA,4,53000.0,True,INSUMO,4,METROS,derivado_de_excel; variantes=1; ejemplos=GAZATA:4
180,GRAPAS,8,12000.0,True,INSUMO,213,Unidad,derivado_de_excel; variantes=2; ejemplos=GRAPAS:205; grapas:8
181,GUATA,5,15000.0,True,INSUMO,5,UNIDAD,derivado_de_excel; variantes=1; ejemplos=GUATA:5
182,GUATA 300,43,18500.0,True,INSUMO,3,* METRO,derivado_de_excel; variantes=1; ejemplos=GUATA 300:3
183,GUATA PRENSADA,23,15000.0,True,INSUMO,1,MTS,derivado_de_excel; variantes=1; ejemplos=GUATA PRENSADA:1
184,HECHURA,10,157500.0,True,SERVICIO,145,PAR,derivado_de_excel; variantes=2; ejemplos=HECHURA:134; hechura:11
185,HECHURA BURRO,41,42000.0,True,SERVICIO,7,*5%,derivado_de_excel; variantes=1; ejemplos=HECHURA BURRO:7
186,HECHURA DEL TENDIDO,51,40000.0,True,SERVICIO,3,* 5%,derivado_de_excel; variantes=1; ejemplos=HECHURA DEL TENDIDO:3
187,HECHURA FABRICACION,5,63000.0,True,SERVICIO,1,UNIDAD,derivado_de_excel; variantes=1; ejemplos=HECHURA FABRICACION:1
188,HECHURA LUIS ALFONSO,10,250000.0,True,SERVICIO,1,PAR,derivado_de_excel; variantes=1; ejemplos=HECHURA LUIS ALFONSO:1
