nombre_producto,nombre_material,cantidad_base,tipo_escala,distancia_pauta_cm,tornillos_por_pieza,condicion_activacion,rangos,formula_personalizada,observaciones
CAMA CHEMBER 2X2,"MDF DE 2,7",1.0,FORMULA,,,,,,unidad_raw=1 PEDAZO DE 1.00X46=46 | seccion=EBANISTA WILMER MANO DE OBRA= | precio_unitario_raw=65000.0 | total_raw=0.0
CAMA CHEMBER 2X2,LAM MDF 5,1.0,FORMULA,,,,,,unidad_raw=1 PEDASO DE 1.50X40=60 | seccion=EBANISTA WILMER MANO DE OBRA= | precio_unitario_raw=130000.0 | total_raw=0.0
CAMA CHEMBER 2X2,LAM MDF 9,1.0,FORMULA,,,,,,"unidad_raw=1 PEDASO DE 1,50X40=60 | seccion=EBANISTA WILMER MANO DE OBRA= | precio_unitario_raw=140.0 | total_raw=21875.0"
CAMA CHEMBER 2X2,COLBON,1.0,FORMULA,,,,,,unidad_raw=litros | seccion=EBANISTA WILMER MANO DE OBRA= | precio_unitario_raw=14000.0 | total_raw=0.0
CAMA CHEMBER 2X2,GRAPAS,1.0,FIJO,,,,,,unidad_raw=Unidad | seccion=EBANISTA WILMER MANO DE OBRA= | precio_unitario_raw=600.0 | total_raw=0.0
CAMA CHEMBER 2X2,CLAVILLOS N F 40,1.0,FIJO,,,,,,unidad_raw=TIRA | seccion=EBANISTA WILMER MANO DE OBRA= | precio_unitario_raw=1000.0 | total_raw=0.0
CAMA CHEMBER 2X2,HECHURA,1.0,FIJO,,,,,,unidad_raw=PAR | seccion=EBANISTA WILMER MANO DE OBRA= | precio_unitario_raw=157500.0 | total_raw=0.0
CAMA CHEMBER 2X2,"TORNILLOS DE 2""",1.0,FIJO,,,,,,unidad_raw=Unidad | seccion=EBANISTA WILMER MANO DE OBRA= | precio_unitario_raw=100.0 | total_raw=0.0
CAMA CHEMBER 2X2,gastos de Ebanisteria e 5%,1.0,FORMULA,,,,,,seccion=EBANISTA WILMER MANO DE OBRA= | total_raw=26294.75
CAMA CHEMBER 2X2,SECCION PINTURA Y PREPARADA,1.0,FORMULA,,,,,DE NOCHERO,seccion=SECCION PINTURA Y PREPARADA DE NOCHERO
CAMA CHEMBER 2X2,PREPARADO JOTA,1.0,FORMULA,,,,,,unidad_raw=CON EL 5% | seccion=SECCION PINTURA Y PREPARADA DE NOCHERO | precio_unitario_raw=36750.0 | total_raw=0.0
CAMA CHEMBER 2X2,PINTURA ALEX,1.0,FORMULA,,,,,,unidad_raw=CON EL 5% | seccion=SECCION PINTURA Y PREPARADA DE NOCHERO | precio_unitario_raw=36750.0 | total_raw=0.0
CAMA CHEMBER 2X2,SELLADOR,1.0,FORMULA,,,,,,unidad_raw=PISTOLADAS | seccion=SECCION PINTURA Y PREPARADA DE NOCHERO | precio_unitario_raw=18000.0 | total_raw=0.0
CAMA CHEMBER 2X2,LIJA 400,1.0,FORMULA,,,,,,unidad_raw=unidades | seccion=SECCION PINTURA Y PREPARADA DE NOCHERO | precio_unitario_raw=2000.0 | total_raw=0.0
CAMA CHEMBER 2X2,NITRO,1.0,FORMULA,,,,,,unidad_raw=galon | seccion=SECCION PINTURA Y PREPARADA DE NOCHERO | precio_unitario_raw=70000.0 | total_raw=0.0
CAMA CHEMBER 2X2,VIDRIOS,1.0,FORMULA,,,,,,unidad_raw=unidad | seccion=SECCION PINTURA Y PREPARADA DE NOCHERO | precio_unitario_raw=45000.0 | total_raw=0.0
CAMA CHEMBER 2X2,TALCO,1.0,FORMULA,,,,,,unidad_raw=unidad | seccion=SECCION PINTURA Y PREPARADA DE NOCHERO | precio_unitario_raw=2500.0 | total_raw=0.0
CAMA CHEMBER 2X2,TINER,1.0,FORMULA,,,,,,unidad_raw=GALON | seccion=SECCION PINTURA Y PREPARADA DE NOCHERO | precio_unitario_raw=34000.0 | total_raw=0.0
CAMA CHEMBER 2X2,TOPES,1.0,FORMULA,,,,,,unidad_raw=JALADORES | seccion=SECCION PINTURA Y PREPARADA DE NOCHERO | precio_unitario_raw=3000.0 | total_raw=0.0
CAMA CHEMBER 2X2,BLANCO POLIURETANO,1.0,FORMULA,,,,,,unidad_raw=PISTOLADA | seccion=SECCION PINTURA Y PREPARADA DE NOCHERO | precio_unitario_raw=57500.0 | total_raw=0.0
CAMA CHEMBER 2X2,COLOR,1.0,FORMULA,,,,,,unidad_raw=PISTOLADA | seccion=SECCION PINTURA Y PREPARADA DE NOCHERO | precio_unitario_raw=22000.0 | total_raw=0.0
CAMA CHEMBER 2X2,ENCINA,1.0,FORMULA,,,,,,unidad_raw=galon | seccion=SECCION PINTURA Y PREPARADA DE NOCHERO | precio_unitario_raw=160000.0 | total_raw=0.0
CAMA CHEMBER 2X2,GASOLINA,1.0,FORMULA,,,,,,unidad_raw=ML | seccion=SECCION PINTURA Y PREPARADA DE NOCHERO | precio_unitario_raw=4500.0 | total_raw=0.0
CAMA CHEMBER 2X2,RESANE,1.0,FORMULA,,,,,,unidad_raw=LITRO | seccion=SECCION PINTURA Y PREPARADA DE NOCHERO | precio_unitario_raw=20000.0 | total_raw=0.0
CAMA CHEMBER 2X2,LACA S/M,1.0,FORMULA,,,,,,unidad_raw=PISTOLADA | seccion=SECCION PINTURA Y PREPARADA DE NOCHERO | precio_unitario_raw=23000.0 | total_raw=0.0
CAMA CHEMBER 2X2,Gastos de Pintura 10%,1.0,FORMULA,,,,,,seccion=SECCION PINTURA Y PREPARADA DE NOCHERO | total_raw=0.0
CAMA CHEMBER 2X2,SECCION PINTURA Y PREPARADA,1.0,FORMULA,,,,,PATAS,seccion=SECCION PINTURA Y PREPARADA PATAS
CAMA CHEMBER 2X2,PREPARADO JOTA,1.0,FORMULA,,,,,,unidad_raw=CON EL 5% | seccion=SECCION PINTURA Y PREPARADA PATAS | precio_unitario_raw=63000.0 | total_raw=0.0
CAMA CHEMBER 2X2,PINTURA ALEX,1.0,FORMULA,,,,,,unidad_raw=CON EL 5% | seccion=SECCION PINTURA Y PREPARADA PATAS | precio_unitario_raw=26250.0 | total_raw=0.0
CAMA CHEMBER 2X2,PINTURA DE PATAS ALEX,1.0,FIJO,,,,,,seccion=SECCION PINTURA Y PREPARADA PATAS | precio_unitario_raw=2100.0 | total_raw=0.0
CAMA CHEMBER 2X2,SELLADOR,1.0,FORMULA,,,,,,unidad_raw=PISTOLADAS | seccion=SECCION PINTURA Y PREPARADA PATAS | precio_unitario_raw=18000.0 | total_raw=0.0
CAMA CHEMBER 2X2,LIJA 400,1.0,FORMULA,,,,,,unidad_raw=unidades | seccion=SECCION PINTURA Y PREPARADA PATAS | precio_unitario_raw=2000.0 | total_raw=0.0
CAMA CHEMBER 2X2,NITRO,1.0,FORMULA,,,,,,unidad_raw=galon | seccion=SECCION PINTURA Y PREPARADA PATAS | total_raw=0.0
CAMA CHEMBER 2X2,lija 220,1.0,FORMULA,,,,,,unidad_raw=unidad | seccion=SECCION PINTURA Y PREPARADA PATAS | precio_unitario_raw=2000.0 | total_raw=0.0
CAMA CHEMBER 2X2,lija 120,1.0,FORMULA,,,,,,unidad_raw=unidad | seccion=SECCION PINTURA Y PREPARADA PATAS | precio_unitario_raw=2000.0 | total_raw=0.0
CAMA CHEMBER 2X2,LACA SEMIMATE,1.0,FORMULA,,,,,,unidad_raw=GALON | seccion=SECCION PINTURA Y PREPARADA PATAS | precio_unitario_raw=23000.0 | total_raw=0.0
CAMA CHEMBER 2X2,kerosen,1.0,FORMULA,,,,,,unidad_raw=litro | seccion=SECCION PINTURA Y PREPARADA PATAS | precio_unitario_raw=18000.0 | total_raw=0.0
CAMA CHEMBER 2X2,COLOR,1.0,FORMULA,,,,,,unidad_raw=PISTOLADA | seccion=SECCION PINTURA Y PREPARADA PATAS | precio_unitario_raw=20000.0 | total_raw=0.0
CAMA CHEMBER 2X2,TINTE MIEL,1.0,FORMULA,,,,,,unidad_raw=galon | seccion=SECCION PINTURA Y PREPARADA PATAS | total_raw=0.0
CAMA CHEMBER 2X2,GASOLINA,1.0,FORMULA,,,,,,unidad_raw=LITRO | seccion=SECCION PINTURA Y PREPARADA PATAS | precio_unitario_raw=4.5 | total_raw=0.0
CAMA CHEMBER 2X2,RESANE,1.0,FORMULA,,,,,,unidad_raw=LITRO | seccion=SECCION PINTURA Y PREPARADA PATAS | precio_unitario_raw=23000.0 | total_raw=0.0
CAMA CHEMBER 2X2,LACA BRILLANTE,1.0,FORMULA,,,,,,unidad_raw=PISTOLADA | seccion=SECCION PINTURA Y PREPARADA PATAS | precio_unitario_raw=23000.0 | total_raw=0.0
CAMA CHEMBER 2X2,Gastos de Pintura 10%,1.0,FORMULA,,,,,,seccion=SECCION PINTURA Y PREPARADA PATAS | total_raw=32095.1
CAMA CHEMBER 2X2,TOMAS NEGROS,1.0,FORMULA,,,,,,unidad_raw=UNIDAD | seccion=SECCION TERMINACION | precio_unitario_raw=10500.0 | total_raw=0.0
CAMA CHEMBER 2X2,REGLETA ANCHA,1.0,FORMULA,,,,,,unidad_raw=UNIDAD | seccion=SECCION TERMINACION | precio_unitario_raw=20000.0 | total_raw=0.0
CAMA CHEMBER 2X2,REGLETA DELGADA,1.0,FORMULA,,,,,,unidad_raw=UNIDAD | seccion=SECCION TERMINACION | precio_unitario_raw=20000.0 | total_raw=0.0
CAMA CHEMBER 2X2,LAMPARAS DE LUZ,1.0,FORMULA,,,,,,unidad_raw=UNIDADES | seccion=SECCION TERMINACION | precio_unitario_raw=100000.0 | total_raw=0.0
CAMA CHEMBER 2X2,CABLE DE 12,1.0,FORMULA,,,,,,unidad_raw=METROS | seccion=SECCION TERMINACION | precio_unitario_raw=3000.0 | total_raw=0.0
CAMA CHEMBER 2X2,APAGADORES,1.0,FORMULA,,,,,,unidad_raw=PAR | seccion=SECCION TERMINACION | precio_unitario_raw=1500.0 | total_raw=0.0
CAMA CHEMBER 2X2,ENCHUFLES BLANCO MACHO,1.0,FORMULA,,,,,,unidad_raw=UNIDADES | seccion=SECCION TERMINACION | precio_unitario_raw=2000.0 | total_raw=0.0
CAMA CHEMBER 2X2,HERRAJES DE CAMA,1.0,FORMULA,,,,,,unidad_raw=PAR | seccion=SECCION TERMINACION | precio_unitario_raw=160000.0 | total_raw=0.0
CAMA CHEMBER 2X2,JALADORES,1.0,FIJO,,,,,,unidad_raw=UNIDAD | seccion=SECCION TERMINACION | precio_unitario_raw=26800.0 | total_raw=0.0
CAMA CHEMBER 2X2,MULTIUSOS,1.0,FORMULA,,,,,,unidad_raw=UNIDADES | seccion=SECCION TERMINACION | precio_unitario_raw=3000.0 | total_raw=0.0
CAMA CHEMBER 2X2,CORREDERAS,1.0,FIJO,,,,,,unidad_raw=unidades | seccion=SECCION TERMINACION | precio_unitario_raw=8000.0 | total_raw=0.0
CAMA CHEMBER 2X2,EMBALADA,1.0,FORMULA,,,,,,unidad_raw=unidades | seccion=SECCION TERMINACION | precio_unitario_raw=150000.0 | total_raw=0.0
CAMA CHEMBER 2X2,SECCION TENDIDO,1.0,FORMULA,,,,,,seccion=SECCION TERMINACION | total_raw=0.0
CAMA CHEMBER 2X2,MADERA 60X1X4,614.0,FORMULA,,,,,,unidad_raw=APAMATE | seccion=SECCION TERMINACION | precio_unitario_raw=140.0 | total_raw=85960.0
CAMA CHEMBER 2X2,GRAPAS,0.1,ESPACIADO,,,,,,unidad_raw=CAJA | seccion=PATA DE TENDIDO | precio_unitario_raw=12000.0 | total_raw=1200.0
CAMA CHEMBER 2X2,MDF DE 9,1.0,AREA,,,,,,unidad_raw=LAMINA | seccion=PATA DE TENDIDO | precio_unitario_raw=140000.0 | total_raw=140000.0
CAMA CHEMBER 2X2,COLBON,0.2,VOLUMEN,,,,,,unidad_raw=LITRO | seccion=PATA DE TENDIDO | precio_unitario_raw=14000.0 | total_raw=2800.0
CAMA CHEMBER 2X2,"TORNILLOS DE 2""",30.0,ESPACIADO,,,,,,unidad_raw=UNIDAD | seccion=PATA DE TENDIDO | precio_unitario_raw=100.0 | total_raw=3000.0
CAMA CHEMBER 2X2,CLAVILLO,2.0,ESPACIADO,,,,,,unidad_raw=TIRA | seccion=PATA DE TENDIDO | precio_unitario_raw=1000.0 | total_raw=2000.0
CAMA CHEMBER 2X2,HECHURA,1.0,FIJO,,,,,,unidad_raw=UNIDAD | seccion=PATA DE TENDIDO | precio_unitario_raw=60000.0 | total_raw=60000.0
CAMA CHEMBER 2X2,SECCION TAPICERIA,1.0,FORMULA,,,,,,unidad_raw=MANO DE OBRA= | seccion=SECCION TAPICERIA MANO DE OBRA=
CAMA CHEMBER 2X2,TELA DIVERSA BEIS,12.0,AREA,,,,,,unidad_raw=METROS | seccion=SECCION TAPICERIA MANO DE OBRA= | precio_unitario_raw=29899.0 | total_raw=358788.0
CAMA CHEMBER 2X2,ESPUMA 1/2 ROSADA,0.5,AREA,,,,,,unidad_raw=LAMINA | seccion=SECCION TAPICERIA MANO DE OBRA= | precio_unitario_raw=6630.0 | total_raw=3315.0
CAMA CHEMBER 2X2,GRAPAS,0.4,ESPACIADO,,,,,,unidad_raw=CAJA DE GRAPAS | seccion=SECCION TAPICERIA MANO DE OBRA= | precio_unitario_raw=12000.0 | total_raw=4800.0
CAMA CHEMBER 2X2,PATAS L PLATEADAS,1.0,FIJO,,,,,,unidad_raw=UNIDADES | seccion=SECCION TAPICERIA MANO DE OBRA= | precio_unitario_raw=8000.0 | total_raw=0.0
CAMA CHEMBER 2X2,TORNILLOS,1.0,FIJO,,,,,,unidad_raw=UNIDADES | seccion=SECCION TAPICERIA MANO DE OBRA= | precio_unitario_raw=100.0 | total_raw=0.0
CAMA CHEMBER 2X2,ESPUMA DE 1 1/2'' ROSADA,1.0,AREA,,,,,,unidad_raw=UNIDADES | seccion=SECCION TAPICERIA MANO DE OBRA= | precio_unitario_raw=26000.0 | total_raw=26000.0
CAMA CHEMBER 2X2,ESPUMA 2 AZUL,2.5,AREA,,,,,,unidad_raw=LAMINA | seccion=SECCION TAPICERIA MANO DE OBRA= | precio_unitario_raw=41340.0 | total_raw=103350.0
CAMA CHEMBER 2X2,ESPUMA 1 1/2'' AZUL,1.0,FORMULA,,,,,,unidad_raw=MTS | seccion=SECCION TAPICERIA MANO DE OBRA= | precio_unitario_raw=1000.0 | total_raw=0.0
CAMA CHEMBER 2X2,COSTAL,5.0,AREA,,,,,,unidad_raw=METROS | seccion=SECCION TAPICERIA MANO DE OBRA= | precio_unitario_raw=4000.0 | total_raw=20000.0
CAMA CHEMBER 2X2,HILO,1.0,FORMULA,,,,,,unidad_raw=UNIDAD | seccion=SECCION TAPICERIA MANO DE OBRA= | precio_unitario_raw=25000.0 | total_raw=0.0
CAMA CHEMBER 2X2,CABUYA,0.5,FORMULA,,,,,,unidad_raw=ROLLO | seccion=SECCION TAPICERIA MANO DE OBRA= | precio_unitario_raw=12000.0 | total_raw=6000.0
CAMA CHEMBER 2X2,SUPER,0.4,VOLUMEN,,,,,,unidad_raw=LITRO | seccion=SECCION TAPICERIA MANO DE OBRA= | precio_unitario_raw=19000.0 | total_raw=7600.0
CAMA CHEMBER 2X2,CARTON,1.0,FORMULA,,,,,,unidad_raw=UNIDADES | seccion=SECCION TAPICERIA MANO DE OBRA= | precio_unitario_raw=5000.0 | total_raw=0.0
CAMA CHEMBER 2X2,HECHURA,1.0,FIJO,,,,,,unidad_raw=CAMA | seccion=SECCION TAPICERIA MANO DE OBRA= | precio_unitario_raw=210000.0 | total_raw=210000.0
CAMA CHEMBER 2X2,LENCILLO,1.0,FORMULA,,,,,,unidad_raw=METROS | seccion=SECCION TAPICERIA MANO DE OBRA= | precio_unitario_raw=2650.0 | total_raw=0.0
"CAMA ROMANA ""CAPITONEADA 2*2",MADERA,1.5,LINEAL,,,,,,unidad_raw=CMS | precio_unitario_raw=135000.0 | total_raw=202500.0
"CAMA ROMANA ""CAPITONEADA 2*2",COLBON,1.0,VOLUMEN,,,,,,unidad_raw=LITRO | precio_unitario_raw=14000.0 | total_raw=14000.0
"CAMA ROMANA ""CAPITONEADA 2*2",PARES DE GANCHOS MULTIUSO,4.0,FORMULA,,,,,,unidad_raw=Unidad | precio_unitario_raw=3000.0 | total_raw=12000.0
"CAMA ROMANA ""CAPITONEADA 2*2",CLAVILLOS,10.0,ESPACIADO,,,,,,unidad_raw=TIRA F30 | precio_unitario_raw=1000.0 | total_raw=10000.0
"CAMA ROMANA ""CAPITONEADA 2*2","TORNILLOS DE 2""",150.0,ESPACIADO,,,,,,unidad_raw=Unidad | precio_unitario_raw=100.0 | total_raw=15000.0
"CAMA ROMANA ""CAPITONEADA 2*2",GRAPAS,0.8,ESPACIADO,,,,,,unidad_raw=TIRA | precio_unitario_raw=500.0 | total_raw=400.0
"CAMA ROMANA ""CAPITONEADA 2*2",CLAVILLOS,10.0,ESPACIADO,,,,,,unidad_raw=TIRA F40 | precio_unitario_raw=1000.0 | total_raw=10000.0
"CAMA ROMANA ""CAPITONEADA 2*2",GANCHOS PARA CAMA,1.0,FIJO,,,,,,unidad_raw=PAR | precio_unitario_raw=20000.0 | total_raw=20000.0
"CAMA ROMANA ""CAPITONEADA 2*2",MADERA,1.1,LINEAL,,,,,,unidad_raw=CMS | seccion=TENDIDO DE REJAS | precio_unitario_raw=135000.0 | total_raw=148500.0
"CAMA ROMANA ""CAPITONEADA 2*2",GRAPAS,0.7,ESPACIADO,,,,,,unidad_raw=TIRA | seccion=TENDIDO DE REJAS | precio_unitario_raw=500.0 | total_raw=350.0
"CAMA ROMANA ""CAPITONEADA 2*2",CLAVILLOS,6.0,ESPACIADO,,,,,,unidad_raw=TIRA F30 | seccion=TENDIDO DE REJAS | precio_unitario_raw=1000.0 | total_raw=6000.0
"CAMA ROMANA ""CAPITONEADA 2*2","TORNILLOS DE 2""",40.0,ESPACIADO,,,,,,unidad_raw=Unidad | seccion=TENDIDO DE REJAS | precio_unitario_raw=100.0 | total_raw=4000.0
"CAMA ROMANA ""CAPITONEADA 2*2",COLBON,0.5,VOLUMEN,,,,,,unidad_raw=litro | seccion=TENDIDO DE REJAS | precio_unitario_raw=14000.0 | total_raw=7000.0
"CAMA ROMANA ""CAPITONEADA 2*2",LIENCILLO,2.0,LINEAL,,,,,,unidad_raw=METROS | seccion=TENDIDO DE REJAS | precio_unitario_raw=3000.0 | total_raw=6000.0
"CAMA ROMANA ""CAPITONEADA 2*2",HECHURA DEL TENDIDO,1.0,FIJO,,,,,,unidad_raw=* 5% | seccion=TENDIDO DE REJAS | precio_unitario_raw=40000.0 | total_raw=42000.0
"CAMA ROMANA ""CAPITONEADA 2*2",MADERA,0.12,LINEAL,,,,,,unidad_raw=CMS | seccion=TENDIDO DE REJAS | precio_unitario_raw=135000.0 | total_raw=16200.0
"CAMA ROMANA ""CAPITONEADA 2*2","TORNILLOS DE 2""",10.0,ESPACIADO,,,,,,unidad_raw=Unidad | seccion=TENDIDO DE REJAS | precio_unitario_raw=100.0 | total_raw=1000.0
"CAMA ROMANA ""CAPITONEADA 2*2",COLBON,0.1,VOLUMEN,,,,,,unidad_raw=litro | seccion=TENDIDO DE REJAS | precio_unitario_raw=14000.0 | total_raw=1400.0
"CAMA ROMANA ""CAPITONEADA 2*2",ESPUMA ROSADA 2,1.0,AREA,,,,,,unidad_raw=* UNIDADES | seccion=SECCION TAPICERIA | precio_unitario_raw=48000.0 | total_raw=48000.0
"CAMA ROMANA ""CAPITONEADA 2*2",ESPUMA ROSADA DE 1 1/2,2.5,AREA,,,,,,unidad_raw=* UNIDADES | seccion=SECCION TAPICERIA | precio_unitario_raw=33000.0 | total_raw=82500.0
"CAMA ROMANA ""CAPITONEADA 2*2",COSTAL,2.3,AREA,,,,,,unidad_raw=* METRO | seccion=SECCION TAPICERIA | precio_unitario_raw=25000.0 | total_raw=57500.0
"CAMA ROMANA ""CAPITONEADA 2*2",ESPUMA ROSADA DE 2P,1.0,AREA,,,,,,unidad_raw=* UNIDADES | seccion=SECCION TAPICERIA | precio_unitario_raw=29000.0 | total_raw=29000.0
"CAMA ROMANA ""CAPITONEADA 2*2",CASQUETES,215.0,FORMULA,,,,,,unidad_raw=* UNIDADES | seccion=SECCION TAPICERIA | precio_unitario_raw=170.0 | total_raw=36550.0
"CAMA ROMANA ""CAPITONEADA 2*2",CANAMO,1.0,FIJO,,,,,,unidad_raw=* UNIDADES | seccion=SECCION TAPICERIA | precio_unitario_raw=30000.0 | total_raw=30000.0
"CAMA ROMANA ""CAPITONEADA 2*2",TELA,10.0,AREA,,,,,,unidad_raw=* METRO | seccion=SECCION TAPICERIA | precio_unitario_raw=25000.0 | total_raw=250000.0
"CAMA ROMANA ""CAPITONEADA 2*2",SUPER,1.0,VOLUMEN,,,,,,unidad_raw=PISTOLADA | seccion=SECCION TAPICERIA | precio_unitario_raw=19000.0 | total_raw=19000.0
"CAMA ROMANA ""CAPITONEADA 2*2",HILO,1.0,FIJO,,,,,,unidad_raw=* UNIDADES | seccion=SECCION TAPICERIA | precio_unitario_raw=5000.0 | total_raw=5000.0
"CAMA ROMANA ""CAPITONEADA 2*2",CAJA DE GRAPAS,1.0,ESPACIADO,,,,,,unidad_raw=CAJA | seccion=SECCION TAPICERIA | precio_unitario_raw=10000.0 | total_raw=10000.0
"CAMA ROMANA ""CAPITONEADA 2*2",FIELTRO,1.2,LINEAL,,,,,,unidad_raw=* METRO | seccion=SECCION TAPICERIA | precio_unitario_raw=3000.0 | total_raw=3600.0
"CAMA ROMANA ""CAPITONEADA 2*2",Gastos deTapiceria el 10%,1.0,FORMULA,,,,,,seccion=SECCION TAPICERIA | total_raw=78115.0
"CAMA ROMANA ""CAPITONEADA 2*2",COLOR BEIS O BEIGE,0.2,VOLUMEN,,,,,,unidad_raw=* LITRO | seccion=PINTURA DE 4 PATAS | precio_unitario_raw=18000.0 | total_raw=3600.0
"CAMA ROMANA ""CAPITONEADA 2*2",LACA SEMI MATE,0.2,VOLUMEN,,,,,,unidad_raw=* LITRO | seccion=PINTURA DE 4 PATAS | precio_unitario_raw=24000.0 | total_raw=4800.0
"CAMA ROMANA ""CAPITONEADA 2*2",SELLADOR,0.2,VOLUMEN,,,,,,unidad_raw=* LITRO | seccion=PINTURA DE 4 PATAS | precio_unitario_raw=18000.0 | total_raw=3600.0
"CAMA ROMANA ""CAPITONEADA 2*2",PREPARADA(JOTA) PINTURA,4.0,FORMULA,,,,,,unidad_raw=* 5% | seccion=PINTURA DE 4 PATAS | precio_unitario_raw=4000.0 | total_raw=4200.0
"CAMA ROMANA ""CAPITONEADA 2*2",PINTURA ( ALEX),4.0,FORMULA,,,,,,unidad_raw=* 5% | seccion=PINTURA DE 4 PATAS | precio_unitario_raw=2800.0 | total_raw=2940.0
"CAMA ROMANA ""CAPITONEADA 2*2",Gastos de PINTURA el 10%,1.0,FORMULA,,,,,,seccion=PINTURA DE 4 PATAS | total_raw=1914.0
CAMA DINASTIA 2*2,MADERA,1.3,LINEAL,,,,,,unidad_raw=CMS | precio_unitario_raw=135000.0 | total_raw=175500.0
CAMA DINASTIA 2*2,COLBON,0.5,VOLUMEN,,,,,,unidad_raw=LITRO | precio_unitario_raw=14000.0 | total_raw=7000.0
CAMA DINASTIA 2*2,UNDUPLAC,0.0,AREA,,,,,,unidad_raw=LAMINA ( 55*56) | precio_unitario_raw=13750.0 | total_raw=0.0
CAMA DINASTIA 2*2,PARES DE GANCHOS,2.0,FORMULA,,,,,,unidad_raw=MULTIUSOS | precio_unitario_raw=3000.0 | total_raw=6000.0
CAMA DINASTIA 2*2,CLAVILLOS,5.0,ESPACIADO,,,,,,unidad_raw=TIRA F15 | precio_unitario_raw=1000.0 | total_raw=5000.0
CAMA DINASTIA 2*2,CLAVILLOS,10.0,ESPACIADO,,,,,,unidad_raw=TIRA F30 | precio_unitario_raw=1000.0 | total_raw=10000.0
CAMA DINASTIA 2*2,"TORNILLOS DE 2""",125.0,ESPACIADO,,,,,,unidad_raw=Unidad | precio_unitario_raw=100.0 | total_raw=12500.0
CAMA DINASTIA 2*2,GRAPAS,15.0,ESPACIADO,,,,,,unidad_raw=TIRA | precio_unitario_raw=500.0 | total_raw=7500.0
CAMA DINASTIA 2*2,CLAVILLOS,5.0,ESPACIADO,,,,,,unidad_raw=TIRA F40 | precio_unitario_raw=1000.0 | total_raw=5000.0
CAMA DINASTIA 2*2,CLAVILLOS,10.0,ESPACIADO,,,,,,unidad_raw=TIRA F50 | precio_unitario_raw=1000.0 | total_raw=10000.0
CAMA DINASTIA 2*2,GANCHOS CAMA,1.0,FIJO,,,,,,unidad_raw=PAR | precio_unitario_raw=20000.0 | total_raw=20000.0
CAMA DINASTIA 2*2,MDF DE 9MM,0.0,AREA,,,,,,unidad_raw=RETAL | precio_unitario_raw=46000.0 | total_raw=23000.0
CAMA DINASTIA 2*2,GASOS DEL 10 %,1.0,FORMULA,,,,,,total_raw=59650.0
CAMA DINASTIA 2*2,MADERA,1.1,LINEAL,,,,,,unidad_raw=CMS | seccion=TENDIDOS | precio_unitario_raw=135000.0 | total_raw=148500.0
CAMA DINASTIA 2*2,GRAPAS,0.7,ESPACIADO,,,,,,unidad_raw=TIRA | seccion=TENDIDOS | precio_unitario_raw=500.0 | total_raw=350.0
CAMA DINASTIA 2*2,CLAVILLOS,6.0,ESPACIADO,,,,,,unidad_raw=TIRA F30 | seccion=TENDIDOS | precio_unitario_raw=1000.0 | total_raw=6000.0
